자치구,행정동,가스사용량,가스사용비율
강남구,개포1동,2604,0.4900955159271632
강남구,개포2동,4140,0.8331795998457074
강남구,개포4동,6642,0.8485829269850733
강남구,논현1동,15780,1.1180058214709547
강남구,논현2동,12592,1.1224483731986332
강남구,대치1동,6675,0.8982338099243061
강남구,대치2동,11877,0.876779408688805
강남구,대치4동,9128,0.8995245173317128
강남구,도곡1동,7888,0.925613369449361
강남구,도곡2동,11075,0.9252683904925018
강남구,삼성1동,6145,1.0501132139958131
강남구,삼성2동,13749,1.055119620896725
강남구,세곡동,13249,0.7675388626050014
강남구,수서동,7031,0.8952411268502308
강남구,신사동,7217,0.9534630247382502
강남구,압구정동,9117,0.8507309486780716
강남구,역삼1동,24205,1.0587360486393094
강남구,역삼2동,15682,1.05144236410265
강남구,일원1동,6419,0.8470386417119355
강남구,일원2동,5659,0.8670803646671263
강남구,일원본동,6987,0.8408869811150447
강남구,청담동,10799,0.8840287063061096
강동구,강일동,10936,0.9747749353774846
강동구,고덕1동,5519,0.6056294237064944
강동구,고덕2동,2026,0.5715897869939343
강동구,길동,20180,0.9685857591974849
강동구,둔촌1동,161,0.7069154774972558
강동구,둔촌2동,9770,0.8755657122373078
강동구,명일1동,5519,0.6743508807657062
강동구,명일2동,3979,0.6749406310075766
강동구,상일동,3655,0.8810413402434615
강동구,성내1동,8033,0.9841749535458313
강동구,성내2동,12177,0.9845303867403314
강동구,성내3동,9995,0.9785907770634118
강동구,암사1동,15543,0.9527351112791095
강동구,암사2동,5607,0.9512929632823878
강동구,암사3동,6061,0.9589557650471355
강동구,천호1동,12181,0.9424006808247263
강동구,천호2동,16668,0.9495542199561341
강동구,천호3동,12879,0.95991354144669
강북구,미아동,11764,1.0546416244564973
강북구,번1동,11063,1.0974381866428589
강북구,번2동,7353,0.975112722128901
강북구,번3동,7105,0.9327615255016082
강북구,삼각산동,11332,0.9532301480484522
강북구,삼양동,10858,0.8880104683495992
강북구,송중동,13057,0.9990690556653702
강북구,송천동,13364,0.9702044248697768
강북구,수유1동,10047,0.9778340105598676
강북구,수유2동,9368,0.9844472467423288
강북구,수유3동,12876,1.0522043501355163
강북구,우이동,9014,0.9553873466467643
강북구,인수동,14050,0.9808883846758006
강서구,가양1동,18363,1.0255126260040768
강서구,가양2동,7194,0.8871259454126932
강서구,가양3동,7647,0.9832313643133431
강서구,공항동,10565,0.8429185005917317
강서구,등촌1동,10146,0.8720740337506804
강서구,등촌2동,8608,1.0090653329165364
강서구,등촌3동,14197,0.9639898601240324
강서구,발산1동,10721,0.7999701531516407
강서구,방화1동,11726,0.6773336414048059
강서구,방화2동,11695,1.0200758842256756
강서구,방화3동,10863,0.9657216093878488
강서구,염창동,13615,0.9431772916991392
강서구,우장산동,16251,0.9846206666733988
강서구,화곡1동,25665,1.005235397028488
강서구,화곡2동,8452,1.0248264573039498
강서구,화곡3동,8738,0.9547900674734341
강서구,화곡4동,10039,1.0243616234279738
강서구,화곡6동,10635,0.9751512928663121
강서구,화곡8동,11451,0.9916933091806616
강서구,화곡본동,16260,1.01389480685491
관악구,낙성대동,10288,0.9780939780226746
관악구,난곡동,13337,1.0409839797584282
관악구,난향동,6344,0.9839218321873545
관악구,남현동,8842,0.9706084140618568
관악구,대학동,12606,0.8128314661078423
관악구,미성동,13857,0.9855268304825575
관악구,보라매동,12238,1.0312342003258244
관악구,삼성동,10276,0.8896520377758699
관악구,서림동,11846,0.8363259831030992
관악구,서원동,13525,1.0325281352783628
관악구,성현동,12503,0.9615781479321417
관악구,신림동,15171,0.9674148705522255
관악구,신사동,15036,1.1795716639209226
관악구,신원동,11381,1.1213176130579001
관악구,은천동,15085,0.977498420515479
관악구,인헌동,12658,0.9141275238467788
관악구,조원동,10920,1.090409819013938
관악구,중앙동,9083,1.0279829103358515
관악구,청룡동,18387,1.034760261124034
관악구,청림동,6383,0.9659381817723244
관악구,행운동,15350,0.9226376818853466
광진구,광장동,11296,0.9439291384641096
광진구,구의1동,12537,1.0883914748310737
광진구,구의2동,10974,1.014420410427066
광진구,구의3동,11432,0.9427222562002212
광진구,군자동,11979,1.1580066702112233
광진구,능동,6455,1.0558887677208288
광진구,자양1동,11545,1.0176064872964456
광진구,자양2동,11127,0.987968923418424
광진구,자양3동,10574,0.9568725632885141
