자치구,행정동,주택보급률
강남구,개포1동,112.1
강남구,개포2동,123.1
강남구,개포4동,106.5
강남구,논현1동,84.2
강남구,논현2동,101.9
강남구,대치1동,104.0
강남구,대치2동,104.7
강남구,대치4동,127.0
강남구,도곡1동,111.4
강남구,도곡2동,107.6
강남구,삼성1동,108.7
강남구,삼성2동,126.4
강남구,세곡동,51.3
강남구,수서동,135.8
강남구,신사동,91.3
강남구,압구정동,115.8
강남구,역삼1동,89.5
강남구,역삼2동,121.9
강남구,일원1동,90.4
강남구,일원2동,122.8
강남구,일원본동,110.7
강남구,청담동,108.0
강동구,강일동,112.7
강동구,고덕1동,104.3
강동구,고덕2동,76.7
강동구,길동,84.6
강동구,둔촌1동,110.3
강동구,둔촌2동,89.2
강동구,명일1동,98.1
강동구,명일2동,93.4
강동구,상일동,101.1
강동구,성내1동,97.3
강동구,성내2동,66.5
강동구,성내3동,74.0
강동구,암사1동,71.5
강동구,암사2동,98.0
강동구,암사3동,103.3
강동구,천호1동,70.8
강동구,천호2동,69.4
강동구,천호3동,77.9
강북구,미아동,80.9
강북구,번1동,69.5
강북구,번2동,115.1
강북구,번3동,119.4
강북구,삼각산동,122.2
강북구,삼양동,93.0
강북구,송중동,84.1
강북구,송천동,76.4
강북구,수유1동,90.0
강북구,수유2동,93.7
강북구,수유3동,74.5
강북구,우이동,97.9
강북구,인수동,92.7
강서구,가양1동,113.8
강서구,가양2동,139.1
강서구,가양3동,136.7
강서구,공항동,66.5
강서구,등촌1동,90.6
강서구,등촌2동,93.5
강서구,등촌3동,122.6
강서구,발산1동,104.1
강서구,방화1동,92.5
강서구,방화2동,97.5
강서구,방화3동,127.6
강서구,염창동,107.5
강서구,우장산동,116.6
강서구,화곡1동,91.7
강서구,화곡2동,84.8
강서구,화곡3동,91.6
강서구,화곡4동,84.2
강서구,화곡6동,102.8
강서구,화곡8동,98.5
강서구,화곡본동,106.6
관악구,낙성대동,86.5
관악구,난곡동,73.1
관악구,난향동,99.9
관악구,남현동,85.4
관악구,대학동,93.0
관악구,미성동,81.8
관악구,보라매동,79.7
관악구,삼성동,94.1
관악구,서림동,85.9
관악구,서원동,78.2
관악구,성현동,110.1
관악구,신림동,65.1
관악구,신사동,49.1
관악구,신원동,64.7
관악구,은천동,98.7
관악구,인헌동,87.0
관악구,조원동,86.3
관악구,중앙동,79.7
관악구,청룡동,75.9
관악구,청림동,106.2
관악구,행운동,86.0
광진구,광장동,107.3
광진구,구의1동,60.0
광진구,구의2동,76.2
광진구,구의3동,96.0
광진구,군자동,64.1
광진구,능동,54.7
광진구,자양1동,60.9
광진구,자양2동,78.2
광진구,자양3동,99.8
광진구,자양4동,64.7
광진구,중곡1동,58.3
광진구,중곡2동,56.4
광진구,중곡3동,58.2
광진구,중곡4동,67.3
광진구,화양동,64.9
구로구,가리봉동,64.5
구로구,개봉1동,83.0
구로구,개봉2동,99.9
구로구,개봉3동,88.9
구로구,고척1동,98.8
구로구,고척2동,81.6
구로구,구로1동,104.6
구로구,구로2동,62.6
구로구,구로3동,110.4
구로구,구로4동,107.9
구로구,구로5동,88.4
구로구,수궁동,109.2
구로구,신도림동,100.3
구로구,오류1동,88.2
구로구,오류2동,102.7
금천구,가산동,92.9
금천구,독산1동,97.8
금천구,독산2동,55.3
금천구,독산3동,64.9
금천구,독산4동,60.8
금천구,시흥1동,77.1
금천구,시흥2동,112.0
금천구,시흥3동,105.7
금천구,시흥4동,72.4
금천구,시흥5동,65.6
노원구,공릉1.3동,105.5
노원구,공릉2동,107.8
노원구,상계10동,125.3
노원구,상계1동,108.0
노원구,상계2동,91.6
노원구,상계3.4동,102.4
노원구,상계5동,90.0
노원구,상계6.7동,130.7
노원구,상계8동,117.6
노원구,상계9동,117.7
노원구,월계1동,106.7
노원구,월계2동,120.0
노원구,월계3동,121.8
노원구,중계1동,110.7
노원구,중계2.3동,119.9
노원구,중계4동,118.6
노원구,중계본동,113.4
노원구,하계1동,123.5
노원구,하계2동,116.7
도봉구,도봉1동,90.8
도봉구,도봉2동,110.2
도봉구,방학1동,84.9
도봉구,방학2동,78.8
도봉구,방학3동,112.4
도봉구,쌍문1동,98.3
도봉구,쌍문2동,98.4
도봉구,쌍문3동,93.1
도봉구,쌍문4동,116.1
도봉구,창1동,110.4
도봉구,창2동,86.7
도봉구,창3동,75.4
도봉구,창4동,118.8
도봉구,창5동,109.6
동대문구,답십리1동,82.6
동대문구,답십리2동,100.9
동대문구,용신동,93.2
동대문구,이문1동,99.0
동대문구,이문2동,94.6
동대문구,장안1동,91.6
동대문구,장안2동,92.4
동대문구,전농1동,75.2
동대문구,전농2동,122.1
동대문구,제기동,104.1
동대문구,청량리동,95.1
동대문구,회기동,97.6
동대문구,휘경1동,88.2
동대문구,휘경2동,90.3
동작구,노량진1동,105.8
동작구,노량진2동,66.3
동작구,대방동,97.3
동작구,사당1동,68.8
동작구,사당2동,94.9
동작구,사당3동,92.5
동작구,사당4동,83.2
동작구,사당5동,86.7
동작구,상도1동,104.1
동작구,상도2동,96.4
동작구,상도3동,86.8
동작구,상도4동,82.9
동작구,신대방1동,86.6
동작구,신대방2동,93.9
동작구,흑석동,89.8
마포구,공덕동,99.8
마포구,대흥동,92.5
마포구,도화동,111.2
마포구,망원1동,92.7
마포구,망원2동,104.9
마포구,상암동,130.1
마포구,서강동,111.8
마포구,서교동,93.0
마포구,성산1동,93.5
마포구,성산2동,107.4
마포구,신수동,98.4
마포구,아현동,114.8
마포구,연남동,90.6
마포구,염리동,80.9
마포구,용강동,123.1
마포구,합정동,102.2
서대문구,남가좌1동,114.0
서대문구,남가좌2동,92.8
서대문구,북가좌1동,100.6
서대문구,북가좌2동,92.4
서대문구,북아현동,91.7
서대문구,신촌동,129.8
서대문구,연희동,104.6
서대문구,천연동,111.8
서대문구,충현동,92.6
서대문구,홍은1동,95.6
서대문구,홍은2동,105.1
서대문구,홍제1동,104.1
서대문구,홍제2동,110.0
서대문구,홍제3동,95.6
서초구,내곡동,68.4
서초구,반포1동,114.8
서초구,반포2동,109.6
서초구,반포3동,114.6
서초구,반포4동,109.0
서초구,반포본동,111.4
서초구,방배1동,86.3
서초구,방배2동,72.6
서초구,방배3동,102.4
서초구,방배4동,103.2
서초구,방배본동,90.5
서초구,서초1동,124.9
서초구,서초2동,109.1
서초구,서초3동,108.5
서초구,서초4동,111.2
서초구,양재1동,104.9
서초구,양재2동,85.5
서초구,잠원동,116.8
성동구,금호1가동,132.4
성동구,금호2.3가동,95.3
성동구,금호4가동,108.4
성동구,마장동,90.2
성동구,사근동,84.3
성동구,성수1가1동,86.5
성동구,성수1가2동,76.2
성동구,성수2가1동,82.9
성동구,성수2가3동,85.2
성동구,송정동,61.8
성동구,옥수동,116.6
성동구,왕십리2동,86.7
성동구,왕십리도선동,91.2
성동구,용답동,49.1
성동구,응봉동,113.3
성동구,행당1동,84.1
성동구,행당2동,110.8
성북구,길음1동,124.4
성북구,길음2동,110.7
