자치구,행정동,혼인,이혼
강남구,개포1동,79,30
강남구,개포2동,47,12
강남구,개포4동,91,27
강남구,논현1동,166,54
강남구,논현2동,116,41
강남구,대치1동,37,12
강남구,대치2동,75,36
강남구,대치4동,110,27
강남구,도곡1동,128,25
강남구,도곡2동,102,30
강남구,삼성1동,87,31
강남구,삼성2동,139,42
강남구,세곡동,219,65
강남구,수서동,142,30
강남구,신사동,68,23
강남구,압구정동,103,29
강남구,역삼1동,317,88
강남구,역삼2동,137,51
강남구,일원1동,55,31
강남구,일원2동,70,10
강남구,일원본동,90,16
강남구,청담동,141,48
강동구,강일동,98,61
강동구,고덕1동,124,26
강동구,고덕2동,25,15
강동구,길동,285,100
강동구,둔촌1동,60,10
강동구,둔촌2동,72,31
강동구,명일1동,109,38
강동구,명일2동,28,9
강동구,상일동,33,15
강동구,성내1동,251,54
강동구,성내2동,136,47
강동구,성내3동,54,23
강동구,암사1동,257,77
강동구,암사2동,98,27
강동구,암사3동,48,14
강동구,천호1동,347,75
강동구,천호2동,186,67
강동구,천호3동,160,33
강북구,미아동,105,46
강북구,번1동,113,56
강북구,번2동,59,34
강북구,번3동,58,34
강북구,삼각산동,107,53
강북구,삼양동,117,74
강북구,송중동,92,68
강북구,송천동,111,68
강북구,수유1동,118,67
강북구,수유2동,117,39
강북구,수유3동,126,51
강북구,우이동,96,47
강북구,인수동,125,73
강서구,가양1동,345,60
강서구,가양2동,88,22
강서구,가양3동,230,34
강서구,공항동,191,67
강서구,등촌1동,315,41
강서구,등촌2동,96,39
강서구,등촌3동,174,54
강서구,발산1동,139,60
강서구,방화1동,261,90
강서구,방화2동,99,30
강서구,방화3동,148,52
강서구,염창동,167,25
강서구,우장산동,545,95
강서구,화곡1동,358,95
강서구,화곡2동,94,46
강서구,화곡3동,83,28
강서구,화곡4동,98,51
강서구,화곡6동,103,35
강서구,화곡8동,136,54
강서구,화곡본동,165,90
관악구,낙성대동,379,54
관악구,난곡동,481,104
관악구,난향동,50,22
관악구,남현동,155,27
관악구,대학동,100,37
관악구,미성동,131,51
관악구,보라매동,123,33
관악구,삼성동,59,49
관악구,서림동,127,44
관악구,서원동,131,37
관악구,성현동,120,54
관악구,신림동,147,38
관악구,신사동,97,46
관악구,신원동,99,31
관악구,은천동,165,52
관악구,인헌동,150,37
관악구,조원동,105,36
관악구,중앙동,78,26
관악구,청룡동,145,29
관악구,청림동,79,18
관악구,행운동,169,31
광진구,광장동,109,34
광진구,구의1동,200,50
광진구,구의2동,117,45
광진구,구의3동,195,28
광진구,군자동,137,36
광진구,능동,128,17
광진구,자양1동,178,48
광진구,자양2동,149,44
광진구,자양3동,145,42
광진구,자양4동,105,58
광진구,중곡1동,177,38
광진구,중곡2동,143,38
광진구,중곡3동,113,48
광진구,중곡4동,172,64
광진구,화양동,96,23
구로구,가리봉동,62,31
구로구,개봉1동,164,60
구로구,개봉2동,187,52
구로구,개봉3동,108,37
구로구,고척1동,117,40
구로구,고척2동,102,48
구로구,구로1동,186,39
구로구,구로2동,125,58
구로구,구로3동,184,46
구로구,구로4동,134,57
구로구,구로5동,176,61
구로구,수궁동,153,41
구로구,신도림동,204,32
구로구,오류1동,178,58
구로구,오류2동,206,81
금천구,가산동,161,61
금천구,독산1동,290,72
금천구,독산2동,95,70
금천구,독산3동,157,56
금천구,독산4동,83,40
금천구,시흥1동,192,70
금천구,시흥2동,67,38
