자치구,행정동,전입수,전출수,전입비율,전출비율
강남구,개포1동,961,13256,0.07072416838386812,0.9755666764792464
강남구,개포2동,1889,2728,0.13651309846431797,0.19714543812104787
강남구,개포4동,3147,2833,0.1733645503374191,0.15606665748519488
강남구,논현1동,5501,5730,0.2434232360554904,0.25355665199017635
강남구,논현2동,4607,4952,0.21528540386457629,0.23140727587093157
강남구,대치1동,3686,3399,0.14714570858283432,0.135688622754491
강남구,대치2동,5892,7335,0.14665471923536438,0.18257168458781362
강남구,대치4동,5330,5309,0.2607121893954216,0.25968499315202503
강남구,도곡1동,3421,3552,0.15314024799677695,0.1590044317113568
강남구,도곡2동,4568,4833,0.13384511705587623,0.14160977467842598
강남구,삼성1동,2510,2535,0.17304377800758358,0.17476732161323683
강남구,삼성2동,6050,5316,0.20838715232928615,0.18310514079049342
강남구,세곡동,6097,5726,0.13621232769598535,0.12792386229083355
강남구,수서동,1934,2303,0.11864302803508987,0.1412796760934912
강남구,신사동,2545,2861,0.1480899595589305,0.16647755375170928
강남구,압구정동,3735,3765,0.1377186998764772,0.1388248741726738
강남구,역삼1동,10537,10423,0.30690142280862714,0.3035810505774244
강남구,역삼2동,6574,6924,0.18560135516657256,0.19548277809147374
강남구,일원1동,2434,2421,0.14566999820456042,0.14489197438506193
강남구,일원2동,2602,2513,0.15974950884086445,0.1542853634577603
강남구,일원본동,2820,3153,0.11424404472532815,0.1277345649003403
강남구,청담동,4771,4935,0.1643613814486263,0.17001119627939024
강동구,강일동,3029,3770,0.09180596178035068,0.11426493097125191
강동구,고덕1동,3147,3421,0.11571767387986984,0.12579287014395765
강동구,고덕2동,850,1401,0.11254551473022179,0.18550148957298906
강동구,길동,6093,9461,0.12749529190207157,0.19797028667085165
강동구,둔촌1동,13,1685,0.014452473596442469,1.8732629238465814
강동구,둔촌2동,3724,4407,0.13243243243243244,0.15672119487908961
강동구,명일1동,2959,3119,0.1338247930894125,0.14106101035683596
강동구,명일2동,2154,2361,0.12024450833170514,0.131800039076674
강동구,상일동,2675,1455,0.2649957897865174,0.14413789687453563
강동구,성내1동,2931,3249,0.1413858807071706,0.15672559754950435
강동구,성내2동,4227,4527,0.17083964837829646,0.1829645347074871
강동구,성내3동,3607,4106,0.15181615387853023,0.17281872132665516
강동구,암사1동,4974,5734,0.13401409114790316,0.15449071142784013
강동구,암사2동,1930,2297,0.13220989176599535,0.1573503219619126
강동구,암사3동,2418,2566,0.12899439850626834,0.13688983728994397
강동구,천호1동,4076,4711,0.14220175484501196,0.16435536483681337
강동구,천호2동,5717,6072,0.16267588601021526,0.17277732724401382
강동구,천호3동,4810,4591,0.17573023034908572,0.16772920738724587
강북구,미아동,3610,3784,0.1607516587255644,0.16849979961704592
강북구,번1동,3344,3349,0.1744028371753416,0.17466360696776886
강북구,번2동,1786,2162,0.10282687546778743,0.12447463872416374
강북구,번3동,1635,1923,0.08667302798982188,0.10194020356234097
강북구,삼각산동,3429,3803,0.10353886104233348,0.1148318135153089
강북구,삼양동,3064,5495,0.11334085486525977,0.2032663177169068
강북구,송중동,3357,4103,0.1169360457015466,0.14292183363522362
강북구,송천동,3662,4070,0.12798825667552077,0.142248007828883
강북구,수유1동,3134,3232,0.1442577675489068,0.1487686996547756
강북구,수유2동,2828,2798,0.12805651150153957,0.12669806194529976
강북구,수유3동,4149,4146,0.17763791663990752,0.17750947273778178
강북구,우이동,2937,2933,0.13826381696638734,0.13807551078052915
강북구,인수동,4006,4002,0.12382924793669438,0.12370560415443109
강서구,가양1동,8037,7272,0.24745219988300132,0.22389851904307398
강서구,가양2동,1724,2110,0.10954029926613082,0.13406614353337357
강서구,가양3동,2114,2419,0.12953034527128457,0.1482184982077755
강서구,공항동,3782,3791,0.13922070272956508,0.13955200530084114
강서구,등촌1동,4531,4603,0.19626613532010742,0.19938490860261632
강서구,등촌2동,3134,3367,0.1432554737852539,0.15390592860081365
강서구,등촌3동,3677,4539,0.11047516036474529,0.1363738789490288
강서구,발산1동,4073,4724,0.10537754032831843,0.12222035367320802
강서구,방화1동,5892,6381,0.1288009618537545,0.13949065471636243
강서구,방화2동,3330,3693,0.1402636788677815,0.1555536835011162
강서구,방화3동,3057,3597,0.12365254322985135,0.14549499443826475
강서구,염창동,5039,5114,0.12446431438416224,0.12631682948216028
강서구,우장산동,5465,6009,0.11943527766243417,0.1313241689796097
강서구,화곡1동,8739,9177,0.1654439953428055,0.17373607337921113
강서구,화곡2동,2555,3108,0.13016786815090303,0.1583411875589067
강서구,화곡3동,3051,3255,0.1363758269265153,0.14549436795994994
강서구,화곡4동,2601,3102,0.1166603126191384,0.1391312148191339
강서구,화곡6동,3622,3954,0.14830282930024977,0.16189657290259182
강서구,화곡8동,3835,4224,0.1470080883198528,0.1619197301337831
강서구,화곡본동,5441,5842,0.1527148210000421,0.1639698555931347
관악구,낙성대동,4651,4756,0.2778458137937214,0.28411840258072224
관악구,난곡동,3152,3832,0.10945774660114944,0.13307172746687965
관악구,난향동,1908,2104,0.11697627368033842,0.12899270430997486
관악구,남현동,4023,4124,0.21720702966822342,0.2226601517155738
관악구,대학동,6289,5992,0.27059355033022825,0.2578146849385797
관악구,미성동,4243,4543,0.13107410954249174,0.14034166383491398
관악구,보라매동,4148,4287,0.16659972688569363,0.17218250461884488
관악구,삼성동,2253,2926,0.08719377684894926,0.11323967645806726
관악구,서림동,5428,5757,0.2270369750711059,0.24079805922703698
관악구,서원동,5661,5367,0.2508307855908547,0.23780406752625283
관악구,성현동,3460,3943,0.10610730331048653,0.12091939218301977
관악구,신림동,7112,6353,0.3463355247139031,0.30937423910396883
관악구,신사동,4934,4970,0.21739034652920053,0.21897649417311038
관악구,신원동,3791,3748,0.20652085092474057,0.20417835644049792
관악구,은천동,4983,5269,0.14334618261319831,0.15157355733271963
관악구,인헌동,4667,5199,0.17409307096894525,0.19393826354564953
관악구,조원동,3718,3976,0.21393635997468208,0.2287818631681915
관악구,중앙동,3690,3486,0.24845138701858335,0.23471586318340965
관악구,청룡동,7675,6956,0.27615363857155706,0.250283349824593
관악구,청림동,2160,2448,0.1330909763085739,0.15083643981638375
